"","Participant","Empathy","sad","anxious","relaxed","moved","pleasantness"
"1",50001,"HIGH",73.728813559322,77.1186440677966,46.6101694915254,75.4237288135593,72.8813559322034
"2",50002,"HIGH",81.3559322033898,71.1864406779661,92.3728813559322,83.0508474576271,94.0677966101695
"3",50003,"HIGH",60.1694915254237,6.77966101694915,61.864406779661,70.3389830508475,72.8813559322034
"4",50004,"LOW",86.4406779661017,78.8135593220339,33.0508474576271,45.7627118644068,56.7796610169491
"5",50006,"LOW",52.5423728813559,5.08474576271186,62.7118644067797,46.6101694915254,83.0508474576271
"6",50007,"LOW",10.1694915254237,1.69491525423729,72.0338983050847,16.9491525423729,72.8813559322034
"7",50008,"HIGH",72.8813559322034,3.38983050847458,96.6101694915254,48.3050847457627,97.4576271186441
"8",50009,"HIGH",27.9661016949153,3.38983050847458,76.271186440678,75.4237288135593,93.2203389830508
"9",50011,"LOW",40.6779661016949,22.8813559322034,63.5593220338983,68.6440677966102,79.6610169491525
"10",50012,"HIGH",74.1379310344828,43.1034482758621,91.3793103448276,76.7241379310345,75.8620689655173
"11",50014,"LOW",10,10,99,49,99
"12",50015,"HIGH",30,20,88,65,98
"13",50018,"HIGH",33,1,89,51,97
"14",50019,"HIGH",10,1,27,48,57
"15",50020,"LOW",48,0,99,99,99
"16",50021,"HIGH",25,3,76,55,87
"17",50022,"LOW",11,1,65,28,67
"18",50023,"HIGH",48,1,96,97,95
"19",50024,"LOW",59,0,95,73,90
"20",50025,"LOW",32,3,33,68,84
"21",50028,"HIGH",69,4,77,92,94
"22",50030,"LOW",89,37,63,73,99
"23",50032,"LOW",29,37,48,73,62
"24",50033,"LOW",13,8,31,17,32
"25",50034,"HIGH",36.2068965517241,38.7931034482759,68.9655172413793,67.2413793103448,68.9655172413793
"26",50035,"HIGH",99.0384615384615,77.8846153846154,65.3846153846154,96.1538461538461,70.1923076923077
"27",50036,"LOW",4.80769230769231,1.92307692307692,50,5.76923076923077,76.9230769230769
"28",50037,"LOW",25.8620689655172,27.5862068965517,49.1379310344828,34.4827586206897,73.2758620689655
"29",50038,"HIGH",60.377358490566,40.5660377358491,72.6415094339623,66.0377358490566,62.2641509433962
"30",50039,"HIGH",59.4339622641509,1.88679245283019,96.2264150943396,76.4150943396226,97.1698113207547
"31",50040,"HIGH",35.8490566037736,23.5849056603774,85.8490566037736,29.2452830188679,82.0754716981132
"32",50041,"HIGH",26,19,82,69,100
"33",50042,"HIGH",60,23,68,59,63
"34",50043,"HIGH",24,6,50,65,78
"35",50044,"HIGH",34,22,81,35,95
"36",50045,"LOW",47,76,48,70,66
"37",50046,"HIGH",83,80,70,85,83
"38",50047,"LOW",77,70,61,66,47
"39",50048,"HIGH",15,50,61,35,53
"40",50049,"LOW",12,1,77,63,100
"41",50050,"HIGH",8,3,97,84,99
"42",50051,"HIGH",41.5094339622642,2.83018867924528,98.1132075471698,65.0943396226415,97.1698113207547
"43",50052,"HIGH",91.5094339622642,70.7547169811321,80.188679245283,91.5094339622642,89.622641509434
"44",50054,"LOW",15.3846153846154,12.5,85.5769230769231,65.3846153846154,91.3461538461538
"45",50055,"LOW",11.5384615384615,1.92307692307692,85.5769230769231,12.5,82.6923076923077
"46",50056,"LOW",82.6923076923077,9.61538461538461,50,81.7307692307692,79.8076923076923
"47",50057,"HIGH",22.6415094339623,42.4528301886792,80.188679245283,46.2264150943396,61.3207547169811
"48",50058,"HIGH",70.7547169811321,8.49056603773585,70.7547169811321,69.811320754717,89.622641509434
"49",50059,"HIGH",55.7692307692308,0,100,100,100
"50",50060,"LOW",33.9622641509434,50,16.9811320754717,47.1698113207547,61.3207547169811
"51",50061,"HIGH",29.8076923076923,21.1538461538462,98.0769230769231,21.1538461538462,89.4230769230769
"52",50062,"LOW",44.3396226415094,6.60377358490566,100,32.0754716981132,100
"53",50063,"LOW",66.9811320754717,1.88679245283019,99.0566037735849,66.0377358490566,73.5849056603774
"54",50064,"LOW",55.6603773584906,71.6981132075472,2.83018867924528,51.8867924528302,59.4339622641509
"55",50065,"LOW",65.0943396226415,8.49056603773585,81.1320754716981,50,77.3584905660377
"56",50066,"HIGH",33.0188679245283,1.88679245283019,99.0566037735849,54.7169811320755,99.0566037735849
"57",50067,"LOW",38.6792452830189,0,77.3584905660377,33.0188679245283,84.9056603773585
"58",50068,"HIGH",98.0769230769231,2.88461538461538,98.0769230769231,98.0769230769231,100
"59",50069,"LOW",16.0377358490566,21.6981132075472,74.5283018867925,68.8679245283019,77.3584905660377
"60",50070,"LOW",15.2542372881356,3.38983050847458,23.728813559322,1.69491525423729,53.3898305084746
"61",50071,"LOW",73.728813559322,16.1016949152542,74.5762711864407,79.6610169491525,72.8813559322034
"62",50072,"LOW",75.4237288135593,60.1694915254237,55.9322033898305,83.0508474576271,66.1016949152542
